Part,Quantity,Cost,Purpose,Distributor,Link
PLA Filament,1,$0,3D printing components,"N/A, I have it","N/A, I have it"
Mounting Tape,1,$2.99,Mounting the components into the environment,Amazon,https://a.co/d/09au4UI1
LeRobot Arm,1,$0,The robotic arm that will be trained,"N/A, I have it","N/A, I have it"
Mini Breadboard with Wires,1,$6.99,The robotic arm that will be trained,Amazon,https://a.co/d/0cUBPXr7
AA Batteries,4,$6.49,For powering the stamper,Amazon,https://a.co/d/07304Eiz
Battery Holder,1,$4.99,Holding the Batteries,Amazon,https://a.co/d/0gbvKvxm
Arcade Button,1,$11.99,Triggers stamping,Amazon,https://a.co/d/08g8xGsk
Nano Board with Cord,1,$15.99,Controls servo movement,Amazon,https://a.co/d/0bd2Y9na
Servo Motor,1,$8.99,Motor for the stamper,Amazon,https://a.co/d/087gIFkN
M3 Screws and Nuts,Various,$0.00,Mounting Parts,"N/A, I have it","N/A, I have it"
Tax: $4.68,,,,,
Shipping: $0.00 (Amazon Prime),,,,,
Total: $63.11,,,,,
